AQS Code,CAMS,TCEQ Region,Reg#,Site Name,Latitude,Longitude,Timezone,Params,Activation Date,Deactivation Date
483410001,,AMARILLO,1,Dumas Junior High School,35.860278,-101.963611,CENTRAL,,01-Jan-1975,31-Dec-1976
480650007,79,AMARILLO,1,Pantex 7,35.382749,-101.5608419,CENTRAL,7,12-Jul-1999,
483750002,,AMARILLO,1,City-County Health Unit,35.212778,-101.860833,CENTRAL,,01-Jan-1969,21-Apr-1988
483750024,,AMARILLO,1,Amarillo SH 136,35.2802728,-101.7156402,CENTRAL,3,25-Apr-2010,
483750320,320,AMARILLO,1,Amarillo A&amp;M,35.2015922,-101.9092746,CENTRAL,1,12-Apr-2005,
480651001,,AMARILLO,1,Superfund Site,35.1825,-101.621944,CENTRAL,,09-Sep-1992,26-Jun-1995
483751025,1025,AMARILLO,1,Amarillo 24th Avenue,35.236736,-101.787405,CENTRAL,8,16-Oct-2013,
480650004,104,AMARILLO,1,Pantex 4,35.3359717,-101.587083,CENTRAL,108,29-Jan-2004,
483750005,305,AMARILLO,1,AMARILLO DOWNTOWN,35.209444,-101.831944,CENTRAL,,12-Jul-1996,11-Apr-2005
483751077,1077,AMARILLO,1,Amarillo Xcel El Rancho,35.3165,-101.7418,CENTRAL,8,16-Dec-2016,
482331073,1073,AMARILLO,1,Borger FM 1559,35.6762,-101.4401,CENTRAL,8,02-Nov-2016,
481790001,,AMARILLO,1,Robert E. Lee JH School,35.5525,-100.958333,CENTRAL,,01-Jan-1972,31-Dec-1981
483750004,,AMARILLO,1,Van Buren &amp; 4th,35.21,-101.840278,CENTRAL,,06-Sep-1990,09-Jul-1996
483750003,,AMARILLO,1,Air Terminal Fire Station,35.213333,-101.711944,CENTRAL,,01-Jan-1975,01-Jan-1977
480650005,105,AMARILLO,1,Pantex 5,35.3529795,-101.5806223,CENTRAL,210,13-Jan-2004,
483750001,,AMARILLO,1,Northwest Texas Hospital,35.214722,-101.858333,CENTRAL,,01-Jan-1961,31-Dec-1971
481890001,,LUBBOCK,2,Plainview High School,34.180833,-101.736389,CENTRAL,,01-Jan-1975,31-Dec-1981
483031028,1028,LUBBOCK,2,Lubbock 12th Street,33.58553,-101.78698,CENTRAL,7,13-Aug-2016,
483030325,325,LUBBOCK,2,Lubbock-PM25,33.5907784,-101.8504183,CENTRAL,,20-Aug-2008,17-Nov-2014
483030013,,LUBBOCK,2,East 17th Street,33.580278,-101.797222,CENTRAL,,01-Jan-1971,31-Dec-1973
483030003,,LUBBOCK,2,Lubbock 51st &amp; Wayne,33.548056,-101.917778,CENTRAL,,01-Jan-1971,31-Dec-1973
483030002,,LUBBOCK,2,Fire Station #2,33.5725,-101.866667,CENTRAL,,01-Jan-1970,27-Aug-1976
483030001,306,LUBBOCK,2,Lubbock,33.590851,-101.847594,CENTRAL,,01-Jan-1961,22-Jun-2005
483030025,,LUBBOCK,2,Wolfforth City Limits,33.510556,-102.004444,CENTRAL,,09-Feb-1994,18-May-1995
483031003,,LUBBOCK,2,Shallowater Tower,33.69,-101.991667,CENTRAL,,01-Jan-1971,31-Dec-1973
483031002,,LUBBOCK,2,Slaton City Hall,33.433333,-101.6375,CENTRAL,,01-Jan-1971,31-Dec-1973
483031001,,LUBBOCK,2,Idalou City Hall,33.6625,-101.683333,CENTRAL,,01-Jan-1971,31-Dec-1973
483030023,,LUBBOCK,2,Lubbock State School,33.619167,-101.870833,CENTRAL,,01-Jan-1977,31-Dec-1980
483030021,,LUBBOCK,2,Zenith Fire Station,33.588611,-101.808333,CENTRAL,,01-Jan-1972,01-Jul-1978
483030020,,LUBBOCK,2,Lubbock 73rd Street,33.528333,-101.856389,CENTRAL,,01-Jan-1972,01-Jul-1978
483030017,,LUBBOCK,2,Lubbock Airport,33.659444,-101.819444,CENTRAL,,01-Jan-1971,31-Dec-1973
483030015,,LUBBOCK,2,Harvard,33.611667,-101.850833,CENTRAL,,01-Jan-1971,31-Dec-1973
483030014,,LUBBOCK,2,Erskine,33.606667,-101.884722,CENTRAL,,01-Jan-1971,31-Dec-1973
483030005,,LUBBOCK,2,Lubbock 51st Street,33.548056,-101.847222,CENTRAL,,01-Jan-1971,31-Dec-1973
483030006,,LUBBOCK,2,Vanda,33.567222,-101.904167,CENTRAL,,01-Jan-1971,31-Dec-1973
483030008,,LUBBOCK,2,Globe,33.580556,-101.938889,CENTRAL,,01-Jan-1971,31-Dec-1973
483030009,,LUBBOCK,2,Frankfort,33.580556,-101.938889,CENTRAL,,01-Jan-1971,31-Dec-1973
483030010,,LUBBOCK,2,Lubbock 19th Street,33.541944,-101.866389,CENTRAL,,01-Jan-1971,31-Dec-1973
483030011,,LUBBOCK,2,Lubbock 20th Street,33.578333,-101.8675,CENTRAL,,01-Jan-1971,31-Dec-1971
483030012,,LUBBOCK,2,Lubbock 14th Street,33.582778,-101.841667,CENTRAL,,01-Jan-1971,31-Dec-1972
483030004,,LUBBOCK,2,Wolfforth Post Office,33.508056,-102.008333,CENTRAL,,01-Jan-1971,31-Dec-1973
484850002,,ABILENE,3,Third Street,33.915833,-98.505556,CENTRAL,,01-Jan-1967,30-Dec-1996
484850315,315,ABILENE,3,Wichita Falls,33.8630221,-98.5717882,CENTRAL,,14-Mar-2005,24-Feb-2014
484850652,652,ABILENE,3,WICHITA FALLS   TEXAQSII,33.870278,-98.459722,CENTRAL,,01-Aug-2005,14-Feb-2007
484415015,5015,ABILENE,3,Abilene KABI,32.411389,-99.681944,CENTRAL,13,01-Aug-2005,
